state,city,date,aqi,pm2.5,pm10,no2,so2,o3
Delhi,New Delhi,02-05-2015,461,219.43,16.6,101.27,47.6,74.33
Delhi,New Delhi,03-05-2015,423,15.5,321.46,154.28,98.53,24.04
Delhi,New Delhi,06-05-2015,115,30.84,243.59,2.47,78.9,174.5
Delhi,New Delhi,08-05-2015,41,122.48,304.49,130.28,77.09,50.23
Delhi,New Delhi,13-05-2015,298.5,39.36,279.55,57.325,17.625,96.075
Delhi,New Delhi,14-05-2015,273,217.49,281.53,14.79,75.69,66.54
Delhi,New Delhi,16-05-2015,304,121.53,348.25,124.73,86.49,76.75
Delhi,New Delhi,17-05-2015,219,260.57,242.24,15.04,66.57,111.84
Delhi,New Delhi,18-05-2015,108,92.99,354.57,109.185,75.495,113.27
Delhi,New Delhi,24-05-2015,4,22.61,276.28,85.67,9.8,73.3
Delhi,New Delhi,25-05-2015,209,198.12,311.6,129.91,26.25,115.73
Delhi,New Delhi,30-05-2015,81.5,139.385,210.97,73.67,20.57,63.545
Delhi,New Delhi,09-06-2015,233,76.92,55.47,75.07,87.25,160.93
Delhi,New Delhi,13-06-2015,479,85.42,339.28,149.2,89.53,108.46
Delhi,New Delhi,17-06-2015,393,162.36,101.85,182.52,61.9,144.92
Delhi,New Delhi,18-06-2015,229,127.88,183.75,133.36,29.47,172.18
Delhi,New Delhi,19-06-2015,383.5,90.57,193.605,139.735,51.11,114.81
Delhi,New Delhi,23-06-2015,333,182.53,99.86,134.87,81.16,137.47
Delhi,New Delhi,24-06-2015,420.5,148.96,230.84,58.6,47.655,103.26
Delhi,New Delhi,25-06-2015,189,229.02,310.29,149.835,59.5,78.84
Delhi,New Delhi,03-07-2015,287,82.9,36.68,107.87,94.75,178.48
Delhi,New Delhi,04-07-2015,186,115.42,328.13,148.41,99.78,111.24
Delhi,New Delhi,06-07-2015,372,249.23,379.47,22.92,53.87,19.9
Delhi,New Delhi,10-07-2015,216,69.94,52.75,150.62,60.9,193.09
Delhi,New Delhi,12-07-2015,199,59.39,102.06,78.37,55.07,39.05
Delhi,New Delhi,13-07-2015,57,131.21,355.8,121.94,16.24,188.18
Delhi,New Delhi,15-07-2015,201,185.14,278.3,95.31,33.36,60.07
Delhi,New Delhi,20-07-2015,154,57.02,361.85,147.05,41.18,12.11
Delhi,New Delhi,23-07-2015,157,27.91,114.63,168.6,65.01,13.39
Delhi,New Delhi,26-07-2015,80,235.52,196.32,44.82,50.93,6.6
Delhi,New Delhi,31-07-2015,478,103.33,113.33,14.88,44.82,132.88
Delhi,New Delhi,03-08-2015,289,33.87,347.45,196.72,69.71,178.47
Delhi,New Delhi,04-08-2015,6,195.81,59.38,71.37,63.09,133.95
Delhi,New Delhi,08-08-2015,33,207.17,230.36,175.28,62.21,188.66
Delhi,New Delhi,14-08-2015,67,133.74,94.73,54.58,48.98,161.1
Delhi,New Delhi,17-08-2015,157,146.95,35.05,164.43,39.59,158.72
Delhi,New Delhi,18-08-2015,114,156.47,141.48,101.76,91.91,79.6
Delhi,New Delhi,23-08-2015,157,16.64,254.54,65.52,12.2,33.41
Delhi,New Delhi,28-08-2015,355,78.33,164.2,153.98,11.46,187.46
Delhi,New Delhi,04-09-2015,327,148.52,204.25,55.17,33.33,147.07
Delhi,New Delhi,08-09-2015,296,67.54,352.26,1.19,85.94,70.89
Delhi,New Delhi,10-09-2015,324,164.71,318.3,20.275,78.435,132.92
Delhi,New Delhi,14-09-2015,365,278.61,273.23,10.34,19.3,48.43
Delhi,New Delhi,15-09-2015,420,162.91,130.16,195.21,44.86,105.6
Delhi,New Delhi,19-09-2015,32,42.88,155.19,136.63,98.67,175.07
Delhi,New Delhi,20-09-2015,279,206.14,31.4,112.38,49.52,5.97
Delhi,New Delhi,23-09-2015,110,122.55,124.385,49.75,9.59,81.64
Delhi,New Delhi,24-09-2015,256,50.79,119.77,101.6,36.93,19.67
Delhi,New Delhi,26-09-2015,466,85.66,132.81,4.26,17.9,128.71
Delhi,New Delhi,30-09-2015,179,276.93,370.7,19.52,5.29,16.42
Delhi,New Delhi,03-10-2015,37,112.78,351.96,14.14,19.32,56.04
Delhi,New Delhi,08-10-2015,312,96.975,256.27,148.03,77.75,70.6
Delhi,New Delhi,10-10-2015,278,279.91,72.06,103.92,69.01,36.95
Delhi,New Delhi,11-10-2015,368,167.29,131.39,149.84,9.58,162.14
Delhi,New Delhi,14-10-2015,331,61.5,108.63,177.42,38.85,83.12
Delhi,New Delhi,16-10-2015,225,279.16,189.63,89.86,24.43,165.83
Delhi,New Delhi,19-10-2015,448,45.54,257.92,51.67,31.13,121.89
Delhi,New Delhi,21-10-2015,143,162.08,13.62,176.31,19.77,119.89
Delhi,New Delhi,24-10-2015,297,235.97,216.62,34.86,33.47,164.34
Delhi,New Delhi,25-10-2015,264,23.86,230.23,120.37,49.73,36.45
Delhi,New Delhi,26-10-2015,218.5,229.255,208.96,102.15,66.715,62.6
Delhi,New Delhi,28-10-2015,7,180.77,22.6,171.42,76.03,112.62
Delhi,New Delhi,05-11-2015,9,291.04,355.61,84.91,58.25,16.89
Delhi,New Delhi,08-11-2015,155,240.22,395.72,74.62,70.91,39.93
Delhi,New Delhi,09-11-2015,258,211.27,139.23,9.24,96.07,179.91
Delhi,New Delhi,17-11-2015,45,210.47,244.15,130.76,87.69,175.08
Delhi,New Delhi,27-11-2015,384,39.4,4.52,33.88,15.1,173.68
Delhi,New Delhi,01-12-2015,262,112.31,129.14,67.72,84.5,51.4
Delhi,New Delhi,02-12-2015,292,21.88,3.33,140.35,59.13,148.23
Delhi,New Delhi,05-12-2015,265.5,141.1,256.815,62.105,23.325,78.575
Delhi,New Delhi,06-12-2015,334,45.51,24.22,143.76,2.68,78.3
Delhi,New Delhi,07-12-2015,241,32.98,59.9,135.9,45.365,103.705
Delhi,New Delhi,08-12-2015,34,71.46,90.96,46.25,85.65,7.81
Delhi,New Delhi,10-12-2015,379,203.1,11.19,8.9,74.4,117.27
Delhi,New Delhi,21-12-2015,97,50.33,226.24,43.89,30.26,162.33
Delhi,New Delhi,23-12-2015,22,217.39,343.07,85.86,93.01,95.77
Delhi,New Delhi,24-12-2015,198,86.42,240.43,30.79,82.4,100.41
Delhi,New Delhi,26-12-2015,316,133.52,252.14,109.81,24.48,35.17
Delhi,New Delhi,02-01-2016,93,2.12,18.3,91.69,60.4,75.97
Delhi,New Delhi,04-01-2016,400,100.56,173.28,95,6.16,13.6
Delhi,New Delhi,05-01-2016,270.5,168.49,240.445,94.545,24.825,120.94
Delhi,New Delhi,09-01-2016,382,203.79,210.95,123.27,9.46,169.02
Delhi,New Delhi,13-01-2016,464,156.36,63.04,36.36,33.2,71.31
Delhi,New Delhi,14-01-2016,340,243.24,159.39,11.62,52.79,154.12
Delhi,New Delhi,15-01-2016,260.5,146.735,186.95,74.645,55.66,69.83
Delhi,New Delhi,21-01-2016,272,172.8625,221.255,81.0025,38.645,131.4775
Delhi,New Delhi,23-01-2016,150,219.27,368.85,57.9,81.65,111.94
Delhi,New Delhi,24-01-2016,109,59.36,349.72,47.25,23.32,79.62
Delhi,New Delhi,31-01-2016,389.5,157.29,211.77,65.1,11.51,151.48
Delhi,New Delhi,02-02-2016,475,267.54,184.23,66.52,88.35,45.38
Delhi,New Delhi,03-02-2016,302,47.145,158.105,105.065,58.545,88.785
Delhi,New Delhi,06-02-2016,430.5,143.515,162.305,141.625,21.79,133.15
Delhi,New Delhi,07-02-2016,284,177.46,188.04,51.51,83.87,148.59
Delhi,New Delhi,09-02-2016,500,58.4,32.57,100.24,0.84,125.82
Delhi,New Delhi,13-02-2016,106.5,91.205,248.83,154.34,52.91,146.1
Delhi,New Delhi,18-02-2016,265,53.76,179.4,155.22,88.93,107.45
Delhi,New Delhi,19-02-2016,310,118.86,134.05,180.44,71.42,154.15
Delhi,New Delhi,25-02-2016,398,257.32,11.1,185.89,76.41,175.53
Delhi,New Delhi,28-02-2016,480,180.74,40.49,96.2,59.12,165.82
Delhi,New Delhi,01-03-2016,208,134.96,37.57,181.27,13.33,23.06
Delhi,New Delhi,08-03-2016,98,92.78,202.69,17.44,25.93,82.16
Delhi,New Delhi,11-03-2016,270,195,90.14,16.56,62.3,63.73
Delhi,New Delhi,14-03-2016,223,43.69,228.87,121.31,91.75,2.69
Delhi,New Delhi,16-03-2016,270,77.43,127.35,190.24,79.82,67
Delhi,New Delhi,25-03-2016,98,219.87,279.22,73.71,58.31,163.71
Delhi,New Delhi,08-04-2016,259,269.08,338.93,152.51,84.79,60.13
Delhi,New Delhi,13-04-2016,33,252.19,219.41,152.92,99.19,37.47
Delhi,New Delhi,14-04-2016,151,209.53,132.75,180,67.96,35.84
Delhi,New Delhi,21-04-2016,252.67,96.57,196.75,99.8,49.06,78.41
Delhi,New Delhi,22-04-2016,368,255.46,178.795,183.875,77.275,67.665
Delhi,New Delhi,24-04-2016,198,123.03,236.93,103.5466667,49.77333333,50.06
Delhi,New Delhi,25-04-2016,276,144.7,352.6,25.19,65.32,64.29
Delhi,New Delhi,26-04-2016,4,169.51,127.33,23.3,84.61,145.42
Delhi,New Delhi,04-05-2016,396,186.67,50.84,11.05,38.59,132.72
Delhi,New Delhi,08-05-2016,280,14.97,299.86,99.31,92.33,33.09
Delhi,New Delhi,21-05-2016,235,87.18,254.61,178.93,20.12,129.28
Delhi,New Delhi,29-05-2016,313,242.665,366.235,34.71,36.505,81.34
Delhi,New Delhi,07-06-2016,227,160.205,175.865,22.815,44.035,9.93
Delhi,New Delhi,08-06-2016,63,111.81,46.63,88.53,61.72,91.92
Delhi,New Delhi,13-06-2016,202,73.33,123.55,38.76,82.13,31.96
Delhi,New Delhi,15-06-2016,295,263.99,207.19,163.49,79.76,158.11
Delhi,New Delhi,16-06-2016,210,274.69,306.92,106.9,76.38,76.49
Delhi,New Delhi,22-06-2016,291,19.43,169.51,189.75,45.97,190.16
Delhi,New Delhi,26-06-2016,96,174.86,57.41,18.11,94.75,92.07
Delhi,New Delhi,29-06-2016,144.5,145.235,228.35,103.06,12.405,91.035
Delhi,New Delhi,08-07-2016,16,147.99,143.63,3.8,77.95,45.6
Delhi,New Delhi,09-07-2016,201,39.75,354.39,152.78,22.03,123.65
Delhi,New Delhi,12-07-2016,334,215.28,299.92,60.43,27.23,121.45
Delhi,New Delhi,15-07-2016,50,204.46,68.27,195.44,29.6,3.48
Delhi,New Delhi,16-07-2016,340,57.31,61.61,63.07,36.94,125.87
Delhi,New Delhi,21-07-2016,316,291.46,298.37,143.29,51.23,45.27
Delhi,New Delhi,26-07-2016,150,213.54,247.32,127.26,6.88,64.8
Delhi,New Delhi,28-07-2016,361,223,72.22,191.92,69.89,45.33
Delhi,New Delhi,30-07-2016,253,25.37,36.95,86.18,14.6,78.29
Delhi,New Delhi,04-08-2016,166,288.21,324.94,89.53,2.12,141.37
Delhi,New Delhi,16-08-2016,340,243.15,128.19,62.35,2.81,102.62
Delhi,New Delhi,18-08-2016,10,225.01,288.95,141.44,22.51,34.78
Delhi,New Delhi,19-08-2016,104,210.81,273.95,37.66,77.04,155.62
Delhi,New Delhi,23-08-2016,66,91.55,195.77,150.69,86.91,167.49
Delhi,New Delhi,27-08-2016,296,251.03,321.59,97.145,64.25,22.865
Delhi,New Delhi,30-08-2016,496,173.9,372.74,68.08,81.01,120.57
Delhi,New Delhi,31-08-2016,66,39.78,58.12,2.06,75.06,52.09
Delhi,New Delhi,01-09-2016,35.33333333,176.6866667,190.66,158.6666667,59.28333333,150.2666667
Delhi,New Delhi,03-09-2016,324,87.08,167,10.53,55.59,121.31
Delhi,New Delhi,13-09-2016,389,288,162.86,81.18,77.3,85.19
Delhi,New Delhi,16-09-2016,290.6666667,176.2566667,102.8966667,94.54333333,46.25,129.62
Delhi,New Delhi,18-09-2016,10,194.31,130.77,2,80.84,153.74
Delhi,New Delhi,19-09-2016,381,120.37,114.92,36.51,75.2,199.13
Delhi,New Delhi,20-09-2016,258.5,135.845,188.185,137.46,23.72,105.285
Delhi,New Delhi,24-09-2016,175,182.045,131.065,150.19,74.245,123.83
Delhi,New Delhi,29-09-2016,8,10.19,43.85,47.55,23.79,40.19
Delhi,New Delhi,02-10-2016,405,202.97,109.68,43.94,73.44,53.97
Delhi,New Delhi,06-10-2016,280,275.84,274.44,158.19,51.56,100.99
Delhi,New Delhi,09-10-2016,26,98.83,152.53,139.91,30.42,181.37
Delhi,New Delhi,13-10-2016,86,172.76,283.31,177.99,34.96,2.05
Delhi,New Delhi,14-10-2016,241,184.73,275.91,16.81,56.56,15.46
Delhi,New Delhi,16-10-2016,305,50.58,211.33,75.84,23.34,35
Delhi,New Delhi,18-10-2016,488,49.45,342.76,97.85,38.57,160.17
Delhi,New Delhi,19-10-2016,290.5,207.875,94.85,74.435,52.69,177.045
Delhi,New Delhi,25-10-2016,496,82.79,87.27,20.27,93.54,79.59
Delhi,New Delhi,28-10-2016,220.5,59,289.965,61.86,85.34,179.705
Delhi,New Delhi,30-10-2016,113,159.92,192.315,66.03,22.53,99.355
Delhi,New Delhi,01-11-2016,193,120.24,56.47,57.05,96.13,135.87
Delhi,New Delhi,03-11-2016,31,277.82,7.2,183.12,58.93,38.6
Delhi,New Delhi,08-11-2016,41,261.38,135.03,19.44,32.6,43.74
Delhi,New Delhi,11-11-2016,296,188.65,73.26,135.62,83.53,21.54
Delhi,New Delhi,12-11-2016,44,275.63,293.56,174.15,79.67,33.66
Delhi,New Delhi,18-11-2016,393,278.86,84.33,4.81,63.04,129.71
Delhi,New Delhi,21-11-2016,223,181.8,312.52,149.8,67.79,78.08
Delhi,New Delhi,25-11-2016,361.5,87.75,215.04,137.22,58.825,27.05
Delhi,New Delhi,30-11-2016,159,42.45,147.55,143.84,34.52,79.67
Delhi,New Delhi,01-12-2016,2,157.95,229.73,144.9,65.04,147.48
Delhi,New Delhi,02-12-2016,276,131.92,373.09,85.25,17.79,96.39
Delhi,New Delhi,04-12-2016,210.3333333,120.4633333,260.55,77.5,60.94333333,110.5333333
Delhi,New Delhi,09-12-2016,327,20.61,309.31,125.76,93.87,17.79
Delhi,New Delhi,12-12-2016,281,56.25,15.25,162.95,10.81,3.27
Delhi,New Delhi,14-12-2016,319,96.31,257.5,52.79,42.85,175.62
Delhi,New Delhi,15-12-2016,467,121.58,105.73,159.62,2.52,54.11
Delhi,New Delhi,21-12-2016,335,104.78,187.015,36.69,40.55,105.895
Delhi,New Delhi,25-12-2016,216,184.59,15.62,35.61,19.67,158.26
Delhi,New Delhi,26-12-2016,382,168.92,73.27,16.87,11.23,140.17
Delhi,New Delhi,30-12-2016,428,111.5,70.08,62.97,34.94,65
Delhi,New Delhi,31-12-2016,361,74.06,326.49,77.58,35.78,62.65
Delhi,New Delhi,03-01-2017,475,228.98,191.28,4.58,0.36,147.05
Delhi,New Delhi,04-01-2017,274,259.35,109.85,149.1,26.43,108.48
Delhi,New Delhi,06-01-2017,214,222.02,98.64,12.54,3.41,83.95
Delhi,New Delhi,07-01-2017,327,142.15,71.84,52.03,40.54,169.83
Delhi,New Delhi,09-01-2017,40,94.27,382.97,18.53,54.3,89.28
Delhi,New Delhi,15-01-2017,78,143.21,345.82,86.63,91.42,5.97
Delhi,New Delhi,17-01-2017,457,194.66,80.29,41.16,60.46,114.89
Delhi,New Delhi,19-01-2017,78,20.82,234.38,127.86,87.18,51.3
Delhi,New Delhi,20-01-2017,472,150.72,216.68,55.82,64.78,63.9
Delhi,New Delhi,25-01-2017,348,20.29,122.64,27.11,84.62,123.04
Delhi,New Delhi,30-01-2017,471,57.53,311.54,131.54,71.14,89.18
Delhi,New Delhi,06-02-2017,272,236.39,234.92,4.23,13.54,65.57
Delhi,New Delhi,10-02-2017,56,29.91,367.18,0.38,56.07,137.47
Delhi,New Delhi,13-02-2017,104,182.33,72.68,53.2,7.99,100.24
Delhi,New Delhi,14-02-2017,435,44.34,106.95,15.18,34.92,139.69
Delhi,New Delhi,15-02-2017,14,285.95,121.94,163.74,35.37,57.96
Delhi,New Delhi,17-02-2017,436,41.52,327.13,161.98,54,100.19
Delhi,New Delhi,19-02-2017,367,28.28,228.98,100.35,29,59.52
Delhi,New Delhi,21-02-2017,395,190.14,363.16,111.07,61.34,88.91
Delhi,New Delhi,26-02-2017,161,250.04,154.62,155.02,88.52,191.94
Delhi,New Delhi,27-02-2017,250,57.3,376.62,116.9,71.91,124.63
Delhi,New Delhi,02-03-2017,170,53.21,238.66,144.67,49.38,71.06
Delhi,New Delhi,10-03-2017,30,144.86,266.02,11.75,54.92,120.52
Delhi,New Delhi,16-03-2017,287,30.73,377.3,154.08,43.01,77.93
Delhi,New Delhi,17-03-2017,265,36.08,161.99,50.47,8.97,137.155
Delhi,New Delhi,25-03-2017,346.5,192.74,204.725,180.66,42.31,110.9
Delhi,New Delhi,26-03-2017,82,262.21,318.78,190.09,92.33,109.94
Delhi,New Delhi,27-03-2017,133,284.83,352.19,140,51.8,48.97
Delhi,New Delhi,29-03-2017,172,157.39,120.68,5.43,50.63,43.83
Delhi,New Delhi,13-04-2017,337.5,152.23,63.56,90.585,44.08,12.8
Delhi,New Delhi,14-04-2017,182,32.02,77.42,16.69,69.59,128.75
Delhi,New Delhi,16-04-2017,266,105.125,123.66,51.12,3.295,93.965
Delhi,New Delhi,21-04-2017,61,201.59,370.74,115.97,29.43,123.04
Delhi,New Delhi,23-04-2017,207.5,24.005,91.31,147.655,59.705,84.795
Delhi,New Delhi,24-04-2017,427.5,192.18,352.645,58.3,39.575,154.13
Delhi,New Delhi,01-05-2017,201,72.575,246.66,142.095,47.24,83.485
Delhi,New Delhi,02-05-2017,108,256.57,68,179.56,13.11,130.56
Delhi,New Delhi,03-05-2017,237,147.375,241.175,49.915,12.19,54.755
Delhi,New Delhi,04-05-2017,368,151.48,393.48,16.26,57.66,103.38
Delhi,New Delhi,17-05-2017,184,201.75,42.88,11.95,86.44,189.16
Delhi,New Delhi,21-05-2017,108,141.27,222.03,56.61,70.36,102.96
Delhi,New Delhi,25-05-2017,407,39.67,339.44,18.26,0.98,142.69
Delhi,New Delhi,26-05-2017,10,83.99,33.87,55.52,6.45,28.5
Delhi,New Delhi,17-06-2017,406,223.11,157.34,43.01,35.35,120.45
Delhi,New Delhi,22-06-2017,199.5,223.945,20.63,99.805,7.045,66.165
Delhi,New Delhi,23-06-2017,23,170.41,249.68,90.64,54.4,72.77
Delhi,New Delhi,26-06-2017,292,93.74,253.58,6.78,36.55,127.91
Delhi,New Delhi,30-06-2017,369,1.44,383.97,167.94,15.97,126.43
Delhi,New Delhi,03-07-2017,241,18.83,260.37,185.65,89.97,176.33
Delhi,New Delhi,08-07-2017,259,211.25,143.9,155.47,34.78,43.26
Delhi,New Delhi,09-07-2017,359,177.98,328.6,129.85,85.61,192.53
Delhi,New Delhi,17-07-2017,10,74.82,158.26,151.3,55.29,57.68
Delhi,New Delhi,18-07-2017,427,101.63,100.52,60.93,89.89,21.66
Delhi,New Delhi,23-07-2017,248,106.02,198.59,191.01,42.42,138.79
Delhi,New Delhi,24-07-2017,110,62.54,215.26,28.43,61.18,5.35
Delhi,New Delhi,26-07-2017,165,230.02,322.03,173.58,49.87,142.3
Delhi,New Delhi,27-07-2017,88,93.805,131.875,65.445,81.9,50.71
Delhi,New Delhi,28-07-2017,483,184.15,53.83,128.96,61.59,111.52
Delhi,New Delhi,29-07-2017,382,41.85,372.69,25.03,5.27,99.69
Delhi,New Delhi,31-07-2017,440,161.81,58.77,7.64,31.19,7.21
Delhi,New Delhi,02-08-2017,260,203.68,125.93,17.67,95.83,9.71
Delhi,New Delhi,08-08-2017,295.5,49.51,288.305,103.04,29.465,123.44
Delhi,New Delhi,14-08-2017,183,109.57,216.26,57.86,14.48,14.31
Delhi,New Delhi,15-08-2017,150,45.9,56.55,12.85,88.27,64.31
Delhi,New Delhi,17-08-2017,201,260.1,374.44,45.57,7.44,91.45
Delhi,New Delhi,24-08-2017,44,102.34,198.75,15.37,64.15,186.72
Delhi,New Delhi,25-08-2017,341,127.96,198.11,104.58,91.24,112.57
Delhi,New Delhi,02-09-2017,185,49.13,54.48,29.53,47.35,86.66
Delhi,New Delhi,06-09-2017,198,27.75,384.7,41.48,76.07,30.04
Delhi,New Delhi,08-09-2017,278,67.29,313.78,195.15,26.48,179.85
Delhi,New Delhi,11-09-2017,459,147.46,96.22,142.62,26.45,134.33
Delhi,New Delhi,12-09-2017,390,178.29,26.79,28.38,91.13,81.04
Delhi,New Delhi,20-09-2017,399,43.89,252.87,67.34,54.97,147.53
Delhi,New Delhi,21-09-2017,284.3333333,142.5866667,194.56,78.72666667,66.23666667,81.09666667
Delhi,New Delhi,23-09-2017,373,182.81,169.62,180.85,45.64,89.99
Delhi,New Delhi,27-09-2017,168,52.44,362.73,199.37,15.74,43.32
Delhi,New Delhi,28-09-2017,41,234.67,226.54,149.42,36.83,91.65
Delhi,New Delhi,04-10-2017,242.5,141.375,183.715,153.61,81.68,167.77
Delhi,New Delhi,08-10-2017,398,140.64,225.03,67.74,59.98,122.93
Delhi,New Delhi,14-10-2017,188.5,202.375,137.965,109.42,22.745,61.235
Delhi,New Delhi,21-10-2017,144,213.65,62.56,68.05,44.94,6.89
Delhi,New Delhi,25-10-2017,266,248.87,338.72,82.7,73.42,50.5
Delhi,New Delhi,31-10-2017,411,19.62,14.47,144.06,79.22,123.73
Delhi,New Delhi,06-11-2017,462,132.48,171.275,107,89.435,80.855
Delhi,New Delhi,09-11-2017,419,133.545,19.635,170.135,57.205,147.59
Delhi,New Delhi,17-11-2017,94,18.48,394.65,174.09,42.55,31.4
Delhi,New Delhi,19-11-2017,324,77.77,203.59,178,28.58,120.18
Delhi,New Delhi,23-11-2017,92,177.54,292.99,178.42,72.13,195.45
Delhi,New Delhi,25-11-2017,267,264.14,219.38,151.57,89.96,129.99
Delhi,New Delhi,27-11-2017,403,129.61,62.66,117.21,55.2,147.99
Delhi,New Delhi,30-11-2017,239,196.6,151.88,7.18,63.83,193.76
Delhi,New Delhi,02-12-2017,310,247.11,279.48,28.69,85.89,104.72
Delhi,New Delhi,08-12-2017,135,7.83,168.47,185.15,63.02,175.8
Delhi,New Delhi,13-12-2017,326,232.34,83.28,47.92,33.89,159.74
Delhi,New Delhi,15-12-2017,28,271.88,82.75,22.88,65.27,17.97
Delhi,New Delhi,18-12-2017,385,95.92,116.46,194.67,46.95,89.57
Delhi,New Delhi,22-12-2017,182,63.07,92.74,91.43,17.41,63.135
Delhi,New Delhi,27-12-2017,197.5,123.65,270.895,106.73,51.22,159.215
Delhi,New Delhi,28-12-2017,149,141.72,238.65,53.07,56.59,141.71
Delhi,New Delhi,31-12-2017,415,253.95,162.08,33.79,2.8,128.83
Delhi,New Delhi,03-01-2018,391,41.61,347.84,62.52,78.08,119.48
Delhi,New Delhi,04-01-2018,473,71.05,53.25,159.14,7.98,1.82
Delhi,New Delhi,09-01-2018,216,104.16,73.33,65.9,67.64,0.26
Delhi,New Delhi,10-01-2018,396,115.01,87.03,54.86,54.52,88.16
Delhi,New Delhi,15-01-2018,341.5,182.585,128.335,119.405,66.625,92.97
Delhi,New Delhi,19-01-2018,486,276.5,123.98,71.81,57.1,178.58
Delhi,New Delhi,23-01-2018,37,132.36,183.5,155.71,62.76,100.44
Delhi,New Delhi,25-01-2018,144,65.19,238.47,25.08,37.9,126.62
Delhi,New Delhi,26-01-2018,147,25.94,91.12,195.45,41.36,54.95
Delhi,New Delhi,28-01-2018,104,279.64,224.41,64.47,94.62,133.96
Delhi,New Delhi,29-01-2018,27,130.06,297.8,112.83,9.36,9.15
Delhi,New Delhi,30-01-2018,135,267.01,87.83,124.29,67.77,99.24
Delhi,New Delhi,03-02-2018,47,239.52,230.64,50.78,13.66,95.63
Delhi,New Delhi,06-02-2018,290,283.37,105.26,0.18,95.13,173.41
Delhi,New Delhi,11-02-2018,60,143.64,316.82,168.45,95.5,128.52
Delhi,New Delhi,15-02-2018,84,152.71,85.88,193.57,79.79,69.54
Delhi,New Delhi,16-02-2018,17,260.95,84.78,129.16,49.66,45.11
Delhi,New Delhi,18-02-2018,181,86.92,1.76,50.93,52.33,22.54
Delhi,New Delhi,04-03-2018,450,236.19,91.56,161.92,10.27,160.95
Delhi,New Delhi,12-03-2018,140,166.07,339.27,133.24,87.34,58.48
Delhi,New Delhi,15-03-2018,156,83.54,377.8,89.13,37.26,61.72
Delhi,New Delhi,17-03-2018,212,21.56,46.57,55.86,64.89,178.77
Delhi,New Delhi,18-03-2018,172,283.77,285.24,45.87,53.1,58.93
Delhi,New Delhi,27-03-2018,229,168.32,127.72,68.96,23.74,137.27
Delhi,New Delhi,10-04-2018,13,225.18,284.46,44.94,72.91,177
